Running MPCC

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
k=61, solve_time = 11.83 ms
du = [ 0.00057381 -0.00555454]  | limits = [0.25, 0.6]
k=62, solve_time = 11.83 ms
du = [ 0.00137127 -0.00526929]  | limits = [0.25, 0.6]
k=63, solve_time = 11.84 ms
du = [ 0.00083521 -0.00445727]  | limits = [0.25, 0.6]
k=64, solve_time = 11.85 ms
du = [ 0.00092221 -0.00407275]  | limits = [0.25, 0.6]
k=65, solve_time = 12.00 ms
du = [ 0.00060921 -0.00354684]  | limits = [0.25, 0.6]
k=66, solve_time = 11.15 ms
du = [ 0.00141185 -0.00318735]  | limits = [0.25, 0.6]
k=67, solve_time = 11.11 ms
du = [ 0.00033301 -0.00283157]  | limits = [0.25, 0.6]
k=68, solve_time = 11.16 ms
du = [ 0.00063413 -0.0025655 ]  | limits = [0.25, 0.6]
k=69, solve_time = 11.05 ms
du = [ 0.00132605 -0.00228548]  | limits = [0.25, 0.6]
k=70, solve_time = 11.08 ms
du = [-0.00073437 -0.00234655]  | limits = [0.25, 0.6]
k=71, solve_time = 11.13 ms
du = [ 0.00082838 -0.0019575 ]  | limits = [0.25, 0.6]
k=72, solve_time = 11.12 ms
du = [ 0.0006409  -0.00191638]  | limits = [0.25, 0.6]
k=73, solve_time = 11.10 ms
du = [ 0.00041345 -0.00158051]  | limits = [0.25, 0.6]
k=74, solve_time = 11.14 ms
du = [ 0.00051561 -0.00148123]  | limits = [0.25, 0.6]
k=75, solve_time = 11.09 ms
du = [ 0.00037643 -0.00121142]  | limits = [0.25, 0.6]
k=76, solve_time = 11.13 ms
du = [ 0.0004199  -0.00111337]  | limits = [0.25, 0.6]
k=77, solve_time = 11.07 ms
du = [ 0.00030884 -0.00090428]  | limits = [0.25, 0.6]
k=78, solve_time = 11.09 ms
du = [ 0.00032705 -0.00081784]  | limits = [0.25, 0.6]
k=79, solve_time = 11.11 ms
du = [ 0.00024222 -0.0006634 ]  | limits = [0.25, 0.6]
k=80, solve_time = 11.08 ms
du = [ 0.00024569 -0.00059036]  | limits = [0.25, 0.6]
k=81, solve_time = 11.12 ms
du = [ 0.00018501 -0.00048334]  | limits = [0.25, 0.6]
k=82, solve_time = 11.07 ms
du = [ 0.00017826 -0.00042333]  | limits = [0.25, 0.6]
k=83, solve_time = 11.07 ms
du = [ 0.00013861 -0.00035243]  | limits = [0.25, 0.6]
k=84, solve_time = 11.12 ms
du = [ 0.00012698 -0.00030522]  | limits = [0.25, 0.6]
k=85, solve_time = 11.04 ms
du = [ 0.00010269 -0.00025853]  | limits = [0.25, 0.6]
k=86, solve_time = 11.08 ms
du = [ 9.05003147e-05 -2.23179115e-04]  | limits = [0.25, 0.6]
k=87, solve_time = 11.07 ms
du = [ 7.55593457e-05 -1.91685863e-04]  | limits = [0.25, 0.6]
k=88, solve_time = 11.13 ms
du = [ 6.53561843e-05 -1.66109092e-04]  | limits = [0.25, 0.6]
k=89, solve_time = 11.03 ms
du = [ 5.56637855e-05 -1.44238001e-04]  | limits = [0.25, 0.6]
k=90, solve_time = 11.01 ms
du = [ 4.80250135e-05 -1.25939904e-04]  | limits = [0.25, 0.6]
k=91, solve_time = 11.08 ms
du = [ 4.14090516e-05 -1.10409826e-04]  | limits = [0.25, 0.6]
k=92, solve_time = 11.09 ms
du = [ 3.59230612e-05 -9.72454725e-05]  | limits = [0.25, 0.6]
k=93, solve_time = 11.13 ms
du = [ 3.12730957e-05 -8.60233402e-05]  | limits = [0.25, 0.6]
k=94, solve_time = 11.10 ms
du = [ 2.73528664e-05 -7.64258109e-05]  | limits = [0.25, 0.6]
k=95, solve_time = 11.09 ms
du = [ 2.40269883e-05 -6.81826285e-05]  | limits = [0.25, 0.6]
k=96, solve_time = 11.10 ms
du = [ 2.11985425e-05 -6.10743513e-05]  | limits = [0.25, 0.6]
k=97, solve_time = 11.08 ms
du = [ 1.87832530e-05 -5.49196356e-05]  | limits = [0.25, 0.6]
k=98, solve_time = 11.03 ms
du = [ 1.67129947e-05 -4.95691140e-05]  | limits = [0.25, 0.6]
k=99, solve_time = 11.12 ms
du = [ 1.49313911e-05 -4.48992607e-05]  | limits = [0.25, 0.6]
k=100, solve_time = 11.14 ms
du = [ 1.33920937e-05 -4.08076827e-05]  | limits = [0.25, 0.6]
k=101, solve_time = 11.06 ms
du = [ 1.20568580e-05 -3.72092353e-05]  | limits = [0.25, 0.6]
k=102, solve_time = 11.04 ms
du = [ 1.08940805e-05 -3.40328896e-05]  | limits = [0.25, 0.6]
k=103, solve_time = 11.11 ms
du = [ 9.87757649e-06 -3.12191918e-05]  | limits = [0.25, 0.6]
k=104, solve_time = 11.08 ms
du = [ 8.98559095e-06 -2.87182054e-05]  | limits = [0.25, 0.6]
k=105, solve_time = 11.07 ms
du = [ 8.19999438e-06 -2.64878409e-05]  | limits = [0.25, 0.6]
k=106, solve_time = 11.11 ms
du = [ 7.50563006e-06 -2.44924983e-05]  | limits = [0.25, 0.6]
k=107, solve_time = 12.04 ms
du = [ 6.88978453e-06 -2.27019614e-05]  | limits = [0.25, 0.6]
k=108, solve_time = 11.59 ms
du = [ 6.34175769e-06 -2.10904945e-05]  | limits = [0.25, 0.6]
k=109, solve_time = 11.18 ms
du = [ 5.85251302e-06 -1.96361031e-05]  | limits = [0.25, 0.6]
k=110, solve_time = 11.53 ms
du = [ 5.41439287e-06 -1.83199273e-05]  | limits = [0.25, 0.6]
k=111, solve_time = 11.21 ms
du = [ 5.02088579e-06 -1.71257411e-05]  | limits = [0.25, 0.6]
k=112, solve_time = 11.18 ms
du = [ 4.66643638e-06 -1.60395404e-05]  | limits = [0.25, 0.6]
k=113, solve_time = 11.32 ms
du = [ 4.34628897e-06 -1.50492002e-05]  | limits = [0.25, 0.6]
k=114, solve_time = 14.75 ms
du = [ 4.05635930e-06 -1.41441905e-05]  | limits = [0.25, 0.6]
k=115, solve_time = 11.35 ms
du = [ 3.79312834e-06 -1.33153396e-05]  | limits = [0.25, 0.6]
k=116, solve_time = 11.50 ms
du = [ 3.55355466e-06 -1.25546352e-05]  | limits = [0.25, 0.6]
k=117, solve_time = 11.17 ms
du = [ 3.33500146e-06 -1.18550587e-05]  | limits = [0.25, 0.6]
k=118, solve_time = 11.06 ms
du = [ 3.13517601e-06 -1.12104448e-05]  | limits = [0.25, 0.6]
k=119, solve_time = 11.10 ms
du = [ 2.95207886e-06 -1.06153638e-05]  | limits = [0.25, 0.6]
k=120, solve_time = 11.10 ms
du = [ 2.78396148e-06 -1.00650213e-05]  | limits = [0.25, 0.6]
k=121, solve_time = 11.02 ms
du = [ 2.62929054e-06 -9.55517351e-06]  | limits = [0.25, 0.6]
k=122, solve_time = 11.33 ms
du = [ 2.48671786e-06 -9.08205485e-06]  | limits = [0.25, 0.6]
k=123, solve_time = 11.54 ms
du = [ 2.35505492e-06 -8.64231642e-06]  | limits = [0.25, 0.6]
k=124, solve_time = 11.14 ms
du = [ 2.23325145e-06 -8.23297308e-06]  | limits = [0.25, 0.6]
k=125, solve_time = 11.10 ms
du = [ 2.12037696e-06 -7.85135809e-06]  | limits = [0.25, 0.6]
k=126, solve_time = 12.32 ms
du = [ 2.01560524e-06 -7.49508419e-06]  | limits = [0.25, 0.6]
k=127, solve_time = 11.34 ms
du = [ 1.91820090e-06 -7.16200982e-06]  | limits = [0.25, 0.6]
k=128, solve_time = 11.13 ms
du = [ 1.82750805e-06 -6.85021007e-06]  | limits = [0.25, 0.6]
k=129, solve_time = 11.98 ms
du = [ 1.74294033e-06 -6.55795140e-06]  | limits = [0.25, 0.6]
k=130, solve_time = 16.06 ms
du = [ 1.66397253e-06 -6.28366973e-06]  | limits = [0.25, 0.6]
k=131, solve_time = 14.17 ms
du = [ 1.59013325e-06 -6.02595126e-06]  | limits = [0.25, 0.6]
k=132, solve_time = 12.52 ms
du = [ 1.52099851e-06 -5.78351582e-06]  | limits = [0.25, 0.6]
k=133, solve_time = 11.59 ms
du = [ 1.45618632e-06 -5.55520226e-06]  | limits = [0.25, 0.6]
k=134, solve_time = 11.09 ms
du = [ 1.39535187e-06 -5.33995565e-06]  | limits = [0.25, 0.6]
k=135, solve_time = 11.01 ms
du = [ 1.33818329e-06 -5.13681600e-06]  | limits = [0.25, 0.6]
k=136, solve_time = 11.19 ms
du = [ 1.28439815e-06 -4.94490838e-06]  | limits = [0.25, 0.6]
k=137, solve_time = 11.11 ms
du = [ 1.23374010e-06 -4.76343415e-06]  | limits = [0.25, 0.6]
k=138, solve_time = 11.10 ms
du = [ 1.18597621e-06 -4.59166327e-06]  | limits = [0.25, 0.6]
k=139, solve_time = 11.07 ms
du = [ 1.14089440e-06 -4.42892743e-06]  | limits = [0.25, 0.6]
k=140, solve_time = 11.06 ms
du = [ 1.09830134e-06 -4.27461399e-06]  | limits = [0.25, 0.6]
k=141, solve_time = 11.04 ms
du = [ 1.05802047e-06 -4.12816060e-06]  | limits = [0.25, 0.6]
k=142, solve_time = 10.28 ms
du = [3.25889183e-04 4.58119335e-05]  | limits = [0.25, 0.6]
k=143, solve_time = 10.35 ms
du = [-2.44295540e-04 -8.59083807e-06]  | limits = [0.25, 0.6]
k=144, solve_time = 10.23 ms
du = [-7.71579426e-05 -5.16068179e-06]  | limits = [0.25, 0.6]
k=145, solve_time = 10.31 ms
du = [-9.21728456e-06 -5.15723332e-06]  | limits = [0.25, 0.6]
k=146, solve_time = 10.17 ms
du = [-2.50316794e-07 -4.95935088e-06]  | limits = [0.25, 0.6]
k=147, solve_time = 10.28 ms
du = [ 1.02402986e-06 -4.78407076e-06]  | limits = [0.25, 0.6]
k=148, solve_time = 10.23 ms
du = [ 1.15207478e-06 -4.61715829e-06]  | limits = [0.25, 0.6]
k=149, solve_time = 10.80 ms
du = [ 1.13229069e-06 -4.45872079e-06]  | limits = [0.25, 0.6]
k=150, solve_time = 10.30 ms
du = [ 1.09445958e-06 -4.30815854e-06]  | limits = [0.25, 0.6]
k=151, solve_time = 10.23 ms
du = [ 1.05606480e-06 -4.16496896e-06]  | limits = [0.25, 0.6]
k=152, solve_time = 10.21 ms
du = [ 1.01929804e-06 -4.02868681e-06]  | limits = [0.25, 0.6]
k=153, solve_time = 10.17 ms
du = [ 9.84340289e-07 -3.89888265e-06]  | limits = [0.25, 0.6]
k=154, solve_time = 10.22 ms
du = [ 9.51112682e-07 -3.77515939e-06]  | limits = [0.25, 0.6]
k=155, solve_time = 10.26 ms
du = [ 9.19509834e-07 -3.65714944e-06]  | limits = [0.25, 0.6]
k=156, solve_time = 10.23 ms
du = [ 8.89430109e-07 -3.54451216e-06]  | limits = [0.25, 0.6]
k=157, solve_time = 10.23 ms
du = [ 8.60779059e-07 -3.43693156e-06]  | limits = [0.25, 0.6]
k=158, solve_time = 10.38 ms
du = [ 8.33469244e-07 -3.33411422e-06]  | limits = [0.25, 0.6]
k=159, solve_time = 10.32 ms
du = [ 8.07419681e-07 -3.23578736e-06]  | limits = [0.25, 0.6]
k=160, solve_time = 10.38 ms
du = [ 7.82555344e-07 -3.14169723e-06]  | limits = [0.25, 0.6]
k=161, solve_time = 10.35 ms
du = [ 7.58806586e-07 -3.05160748e-06]  | limits = [0.25, 0.6]
k=162, solve_time = 10.35 ms
du = [ 7.36108772e-07 -2.96529779e-06]  | limits = [0.25, 0.6]
k=163, solve_time = 10.33 ms
du = [ 7.14401760e-07 -2.88256264e-06]  | limits = [0.25, 0.6]
k=164, solve_time = 10.29 ms
du = [ 6.93629629e-07 -2.80321007e-06]  | limits = [0.25, 0.6]
k=165, solve_time = 10.23 ms
du = [ 6.73740273e-07 -2.72706069e-06]  | limits = [0.25, 0.6]
k=166, solve_time = 10.32 ms
du = [ 6.54685119e-07 -2.65394670e-06]  | limits = [0.25, 0.6]
k=167, solve_time = 10.27 ms
du = [ 6.36418845e-07 -2.58371100e-06]  | limits = [0.25, 0.6]
k=168, solve_time = 10.25 ms
du = [ 6.18899133e-07 -2.51620643e-06]  | limits = [0.25, 0.6]
k=169, solve_time = 10.37 ms
du = [ 6.02086410e-07 -2.45129496e-06]  | limits = [0.25, 0.6]
k=170, solve_time = 10.29 ms
du = [ 5.85943672e-07 -2.38884711e-06]  | limits = [0.25, 0.6]
k=171, solve_time = 10.28 ms
du = [ 5.70436265e-07 -2.32874128e-06]  | limits = [0.25, 0.6]
k=172, solve_time = 10.21 ms
du = [ 5.55531724e-07 -2.27086317e-06]  | limits = [0.25, 0.6]
k=173, solve_time = 10.20 ms
du = [ 5.41199609e-07 -2.21510533e-06]  | limits = [0.25, 0.6]
k=174, solve_time = 10.28 ms
du = [ 5.27411343e-07 -2.16136662e-06]  | limits = [0.25, 0.6]
k=175, solve_time = 10.21 ms
du = [ 5.14140099e-07 -2.10955179e-06]  | limits = [0.25, 0.6]
k=176, solve_time = 10.23 ms
du = [ 5.0136067e-07 -2.0595711e-06]  | limits = [0.25, 0.6]
k=177, solve_time = 10.21 ms
du = [ 4.89049324e-07 -2.01133991e-06]  | limits = [0.25, 0.6]
k=178, solve_time = 10.15 ms
du = [ 4.77183761e-07 -1.96477837e-06]  | limits = [0.25, 0.6]
k=179, solve_time = 10.27 ms
du = [ 4.65742947e-07 -1.91981107e-06]  | limits = [0.25, 0.6]
k=180, solve_time = 10.26 ms
du = [ 4.54707085e-07 -1.87636680e-06]  | limits = [0.25, 0.6]
k=181, solve_time = 10.18 ms
du = [ 4.44057493e-07 -1.83437820e-06]  | limits = [0.25, 0.6]
k=182, solve_time = 10.25 ms
du = [ 4.33776552e-07 -1.79378160e-06]  | limits = [0.25, 0.6]
k=183, solve_time = 10.25 ms
du = [ 4.23847604e-07 -1.75451670e-06]  | limits = [0.25, 0.6]
k=184, solve_time = 10.30 ms
du = [ 4.14254947e-07 -1.71652644e-06]  | limits = [0.25, 0.6]
k=185, solve_time = 10.31 ms
du = [ 4.04983699e-07 -1.67975672e-06]  | limits = [0.25, 0.6]
k=186, solve_time = 10.24 ms
du = [ 3.96019813e-07 -1.64415628e-06]  | limits = [0.25, 0.6]
k=187, solve_time = 10.23 ms
du = [ 3.87349975e-07 -1.60967649e-06]  | limits = [0.25, 0.6]
k=188, solve_time = 10.24 ms
du = [ 3.78961586e-07 -1.57627119e-06]  | limits = [0.25, 0.6]
k=189, solve_time = 10.28 ms
du = [ 3.70842701e-07 -1.54389656e-06]  | limits = [0.25, 0.6]
k=190, solve_time = 10.28 ms
du = [ 3.62982027e-07 -1.51251097e-06]  | limits = [0.25, 0.6]
k=191, solve_time = 10.27 ms
du = [ 3.55368783e-07 -1.48207486e-06]  | limits = [0.25, 0.6]
k=192, solve_time = 10.69 ms
du = [ 3.47992812e-07 -1.45255061e-06]  | limits = [0.25, 0.6]
k=193, solve_time = 10.69 ms
du = [ 3.40844435e-07 -1.42390242e-06]  | limits = [0.25, 0.6]
k=194, solve_time = 10.40 ms
du = [ 3.33914455e-07 -1.39609623e-06]  | limits = [0.25, 0.6]
k=195, solve_time = 10.29 ms
du = [ 3.27194127e-07 -1.36909958e-06]  | limits = [0.25, 0.6]
k=196, solve_time = 10.30 ms
du = [ 3.20675170e-07 -1.34288158e-06]  | limits = [0.25, 0.6]
k=197, solve_time = 10.24 ms
du = [ 3.14349657e-07 -1.31741277e-06]  | limits = [0.25, 0.6]
k=198, solve_time = 10.18 ms
du = [ 3.08210071e-07 -1.29266505e-06]  | limits = [0.25, 0.6]
k=199, solve_time = 10.25 ms
du = [ 3.02249256e-07 -1.26861164e-06]  | limits = [0.25, 0.6]
k=200, solve_time = 10.24 ms
du = [ 2.96460380e-07 -1.24522697e-06]  | limits = [0.25, 0.6]
k=201, solve_time = 10.22 ms
du = [ 2.90836945e-07 -1.22248662e-06]  | limits = [0.25, 0.6]
k=202, solve_time = 10.40 ms
du = [ 2.85372736e-07 -1.20036728e-06]  | limits = [0.25, 0.6]
k=203, solve_time = 10.35 ms
du = [ 2.80061852e-07 -1.17884666e-06]  | limits = [0.25, 0.6]
k=204, solve_time = 10.32 ms
du = [ 2.74898638e-07 -1.15790347e-06]  | limits = [0.25, 0.6]
k=205, solve_time = 10.39 ms
du = [ 2.69877713e-07 -1.13751735e-06]  | limits = [0.25, 0.6]
k=206, solve_time = 10.24 ms
du = [ 2.64993903e-07 -1.11766881e-06]  | limits = [0.25, 0.6]
k=207, solve_time = 10.25 ms
du = [ 2.60242319e-07 -1.09833921e-06]  | limits = [0.25, 0.6]
k=208, solve_time = 10.24 ms
du = [ 2.55618238e-07 -1.07951071e-06]  | limits = [0.25, 0.6]
k=209, solve_time = 10.20 ms
du = [ 2.51117167e-07 -1.06116622e-06]  | limits = [0.25, 0.6]
k=210, solve_time = 10.32 ms
du = [ 2.46734814e-07 -1.04328935e-06]  | limits = [0.25, 0.6]
k=211, solve_time = 10.22 ms
du = [ 2.42467052e-07 -1.02586442e-06]  | limits = [0.25, 0.6]
k=212, solve_time = 10.34 ms
du = [ 2.38309935e-07 -1.00887639e-06]  | limits = [0.25, 0.6]
k=213, solve_time = 10.32 ms
du = [ 2.34259703e-07 -9.92310824e-07]  | limits = [0.25, 0.6]
k=214, solve_time = 10.32 ms
du = [ 2.30312733e-07 -9.76153888e-07]  | limits = [0.25, 0.6]
k=215, solve_time = 10.19 ms
du = [ 2.26465550e-07 -9.60392301e-07]  | limits = [0.25, 0.6]
k=216, solve_time = 10.29 ms
du = [ 2.22714860e-07 -9.45013312e-07]  | limits = [0.25, 0.6]
k=217, solve_time = 10.27 ms
du = [ 2.19057443e-07 -9.30004679e-07]  | limits = [0.25, 0.6]
k=218, solve_time = 10.21 ms
du = [ 2.15490268e-07 -9.15354641e-07]  | limits = [0.25, 0.6]
k=219, solve_time = 11.14 ms
du = [ 2.12010383e-07 -9.01051900e-07]  | limits = [0.25, 0.6]
k=220, solve_time = 11.42 ms
du = [ 2.08614985e-07 -8.87085594e-07]  | limits = [0.25, 0.6]
k=221, solve_time = 11.00 ms
du = [ 2.05301373e-07 -8.73445282e-07]  | limits = [0.25, 0.6]
k=222, solve_time = 10.66 ms
du = [ 2.02066939e-07 -8.60120921e-07]  | limits = [0.25, 0.6]
k=223, solve_time = 10.49 ms
du = [ 1.98909200e-07 -8.47102851e-07]  | limits = [0.25, 0.6]
k=224, solve_time = 10.31 ms
du = [ 1.95825739e-07 -8.34381775e-07]  | limits = [0.25, 0.6]
k=225, solve_time = 10.22 ms
du = [ 1.92814263e-07 -8.21948745e-07]  | limits = [0.25, 0.6]
k=226, solve_time = 10.28 ms
du = [ 1.89872566e-07 -8.09795145e-07]  | limits = [0.25, 0.6]
k=227, solve_time = 10.29 ms
du = [ 1.86998492e-07 -7.97912677e-07]  | limits = [0.25, 0.6]
k=228, solve_time = 10.24 ms
du = [ 1.84189993e-07 -7.86293347e-07]  | limits = [0.25, 0.6]
k=229, solve_time = 10.22 ms
du = [ 1.81445102e-07 -7.74929453e-07]  | limits = [0.25, 0.6]
k=230, solve_time = 10.20 ms
du = [ 1.78761917e-07 -7.63813571e-07]  | limits = [0.25, 0.6]
k=231, solve_time = 10.27 ms
du = [ 1.76138592e-07 -7.52938540e-07]  | limits = [0.25, 0.6]
k=232, solve_time = 10.23 ms
du = [ 1.73573372e-07 -7.42297459e-07]  | limits = [0.25, 0.6]
k=233, solve_time = 10.24 ms
du = [ 1.71064553e-07 -7.31883669e-07]  | limits = [0.25, 0.6]
k=234, solve_time = 10.21 ms
du = [ 1.68610506e-07 -7.21690745e-07]  | limits = [0.25, 0.6]
k=235, solve_time = 10.27 ms
du = [ 1.66209621e-07 -7.11712485e-07]  | limits = [0.25, 0.6]
k=236, solve_time = 10.20 ms
du = [ 1.63860407e-07 -7.01942905e-07]  | limits = [0.25, 0.6]
k=237, solve_time = 10.19 ms
du = [ 1.61561377e-07 -6.92376225e-07]  | limits = [0.25, 0.6]
k=238, solve_time = 10.24 ms
du = [ 1.59311112e-07 -6.83006863e-07]  | limits = [0.25, 0.6]
k=239, solve_time = 10.23 ms
du = [ 1.57108251e-07 -6.73829427e-07]  | limits = [0.25, 0.6]
k=240, solve_time = 10.21 ms
du = [ 1.54951458e-07 -6.64838707e-07]  | limits = [0.25, 0.6]
k=241, solve_time = 10.27 ms
du = [ 1.52839472e-07 -6.56029668e-07]  | limits = [0.25, 0.6]
k=242, solve_time = 10.19 ms
du = [ 1.50771048e-07 -6.47397441e-07]  | limits = [0.25, 0.6]
k=243, solve_time = 10.33 ms
du = [ 1.48745008e-07 -6.38937321e-07]  | limits = [0.25, 0.6]
k=244, solve_time = 10.27 ms
du = [ 1.46760184e-07 -6.30644756e-07]  | limits = [0.25, 0.6]
k=245, solve_time = 10.15 ms
du = [ 2.18593841e-07 -6.20722499e-07]  | limits = [0.25, 0.6]
k=246, solve_time = 10.34 ms
du = [ 1.95205764e-07 -6.11861846e-07]  | limits = [0.25, 0.6]
k=247, solve_time = 10.24 ms
du = [ 1.49903176e-07 -6.04073213e-07]  | limits = [0.25, 0.6]
k=248, solve_time = 10.23 ms
du = [ 1.39660996e-07 -5.96419533e-07]  | limits = [0.25, 0.6]
k=249, solve_time = 10.14 ms
du = [ 1.36608143e-07 -5.88913392e-07]  | limits = [0.25, 0.6]
k=250, solve_time = 10.59 ms
du = [ 1.34675184e-07 -5.81550523e-07]  | limits = [0.25, 0.6]
k=251, solve_time = 10.38 ms
